postal_code,placename,longitude,latitude,Diesel,Electric,Gas,Total
85500,Nivala,24.95732021253325,63.93049337962614,6.0,0.0,0.0,6.0
21660,Nauvo,21.904950654049102,60.1921121736026,0.0,0.0,0.0,0.0
15550,Nastola,25.961278995137526,60.937244928198126,0.0,0.0,0.0,0.0
21100,Naantali,22.062932059175207,60.46783736784974,6.0,2.0,0.0,8.0
52700,Mäntyharju,26.88154890839714,61.41569758573008,7.0,0.0,0.0,7.0
35800,Mänttä,24.622753401933565,62.03163449693355,9.0,0.0,0.0,9.0
4600,Mäntsälä,25.31925543946015,60.636728044331534,11.0,0.0,0.0,11.0
46800,Myllykoski,26.785458422795962,60.76376399238259,3.0,0.0,0.0,3.0
40950,Muurame,25.68211588560176,62.147079006246216,22.0,0.0,0.0,22.0
99300,Muonio,23.68167436895838,67.95829927709602,0.0,0.0,0.0,0.0
91500,Muhos,25.9912510147011,64.80659666020975,9.0,0.0,0.0,9.0
50150,Mikkeli,27.20813936372335,61.69107012897471,15.0,14.0,0.0,29.0
29900,Merikarvia,21.518292761846265,61.872662594059356,0.0,0.0,0.0,0.0
97340,Meltaus,25.372754315219414,66.90733729354284,0.0,0.0,0.0,0.0
7900,Loviisa,26.22152565547105,60.45167279839088,14.0,0.0,0.0,14.0
32200,Loimaa,23.023661297367905,60.84644451097885,13.0,2.0,0.0,15.0
8100,Lohja,24.053222424202897,60.24202691455223,7.0,20.0,0.0,27.0
41400,Lievestuore,26.19832885502945,62.26109989524399,0.0,0.0,0.0,0.0
21420,Lieto,22.399094428114054,60.47162721274894,0.0,0.0,0.0,0.0
81700,Lieksa,30.02475004030349,63.31601543935902,7.0,0.0,0.0,7.0
79100,Leppävirta,27.787376111359272,62.4921847556679,0.0,0.0,0.0,0.0
88930,Lentiira,29.836681746408154,64.38963557539729,0.0,0.0,0.0,0.0
37550,Lempäälä,23.758479493683524,61.34541270023857,4.0,12.0,0.0,16.0
63500,Lehtimäki,23.946423761072854,62.81926857703,0.0,0.0,0.0,0.0
62100,Lapua,23.006891394897373,62.97238274113212,0.0,0.0,0.0,0.0
53500,Lappeenranta,28.223679553345022,61.053217223886115,10.0,26.0,0.0,36.0
53810,Lappeenranta,28.109989932253814,61.04018333973745,10.0,26.0,0.0,36.0
62600,Lappajärvi,23.621645560193446,63.21694067610048,0.0,0.0,0.0,0.0
73100,Lapinlahti,27.39905379324159,63.36685216075788,0.0,0.0,0.0,0.0
16900,Lammi,25.014410822307774,61.079443329406644,0.0,0.0,0.0,0.0
23800,Laitila,21.696126740930886,60.87901503222654,0.0,0.0,0.0,0.0
15150,Lahti,25.72653374405927,60.960415057667284,19.0,14.0,0.0,33.0
15250,Lahti,25.68789621327374,61.01080329800822,19.0,14.0,0.0,33.0
86710,Kärsämäki,25.75827896947849,63.977197754631206,0.0,0.0,0.0,0.0
39200,Kyröskoski,23.17661309369577,61.656290938654045,0.0,0.0,0.0,0.0
34150,Kyrönlahti,23.546691264169688,61.7164233711808,0.0,0.0,0.0,0.0
45700,Kuusankoski,26.627440340906958,60.90711643357834,0.0,0.0,0.0,0.0
93600,Kuusamo,29.170190412888623,65.96042584707189,23.0,0.0,0.0,23.0
61300,Kurikka,22.392081558773118,62.61140413594102,0.0,0.0,0.0,0.0
63100,Kuortane,23.50753514652971,62.805229741171935,0.0,0.0,0.0,0.0
70110,Kuopio,27.673826924293557,62.8911499794644,9.0,20.0,0.0,29.0
70800,Kuopio,27.616036101316585,62.817057048222196,9.0,20.0,0.0,29.0
88900,Kuhmo,29.50487791101613,64.12168893147255,10.0,0.0,0.0,10.0
45200,Kouvola,26.80826680233894,60.87564962133164,41.0,0.0,0.0,41.0
48100,Kotka,26.941486589552017,60.46379272176157,17.0,0.0,0.0,17.0
48230,Kotka,26.908380650709063,60.491737519443525,17.0,0.0,0.0,17.0
62420,Kortesjärvi,23.15090546372178,63.30025849584526,0.0,0.0,0.0,0.0
44300,Konnevesi,26.301463054347312,62.626823813918385,0.0,0.0,0.0,0.0
95900,Kolari,23.789194374366836,67.33162632838842,19.0,0.0,0.0,19.0
67700,Kokkola,23.14613174690772,63.83264393683193,8.0,6.0,0.0,14.0
32800,Kokemäki,22.356187569823977,61.255859620550765,0.0,0.0,0.0,0.0
43800,Kivijärvi,25.07102928180846,63.12307673245336,0.0,0.0,0.0,0.0
99100,Kittilä,24.90531734725976,67.65805683571067,15.0,0.0,0.0,15.0
82500,Kitee,30.147180772685005,62.09587229662142,6.0,6.0,0.0,12.0
2400,Kirkkonummi,24.441239121590183,60.120655937937364,17.0,0.0,0.0,17.0
42700,Keuruu,24.70351116488306,62.262571234315196,5.0,4.0,0.0,9.0
4250,Kerava,25.106754442387555,60.39109031597539,4.0,10.0,0.0,14.0
90440,Kempele,25.51921679884449,64.9033435882723,9.0,10.0,0.0,19.0
94450,Keminmaa,24.50220258336525,65.79596526970161,0.0,0.0,0.0,0.0
98100,Kemijärvi,27.434438330008714,66.7152166241211,12.0,0.0,0.0,12.0
94100,Kemi,24.571672114207296,65.73681480540381,11.0,14.0,0.0,25.0
69600,Kaustinen,23.654964700247447,63.54112815716034,15.0,0.0,0.0,15.0
47400,Kausala,26.389833060651075,60.88366969684453,0.0,0.0,0.0,0.0
62200,Kauhava,23.045222413093448,63.10140923176346,0.0,0.0,0.0,0.0
62300,Kauhava,22.845418998798177,63.24156043353617,0.0,0.0,0.0,0.0
61850,Kauhajoki as,22.20461920785274,62.45813027911654,0.0,0.0,0.0,0.0
43500,Karstula,24.83090277675781,62.878784413214724,1.0,0.0,0.0,1.0
3600,Karkkila,24.213455847900644,60.5361531642078,10.0,0.0,0.0,10.0
10300,Karjaa,23.66162565337281,60.070039311790836,0.0,0.0,0.0,0.0
10300,Karjaa,23.640404988349488,60.05802664630482,0.0,0.0,0.0,0.0
69100,Kannus,23.919224739648342,63.900961762997454,0.0,0.0,0.0,0.0
38700,Kankaanpää,22.3948515154812,61.806742319534656,21.0,0.0,0.0,21.0
51200,Kangasniemi,26.635835443547506,61.989418218066575,9.0,0.0,0.0,9.0
36220,Kangasala,24.008949192104712,61.469870621650735,27.0,0.0,0.0,27.0
85100,Kalajoki,23.945976051803783,64.26276446718553,5.0,0.0,0.0,5.0
87400,Kajaani,27.766494652305227,64.22112994302127,29.0,10.0,2.0,41.0
73600,Kaavi,28.480289229393264,62.974535167550265,12.0,0.0,0.0,12.0
20780,Kaarina,22.380854039335457,60.42184726011302,13.0,0.0,0.0,13.0
4430,Järvenpää,25.11009158764329,60.474798533992214,9.0,0.0,0.0,9.0
42100,Jämsä,25.192323240149495,61.8637642515314,20.0,0.0,0.0,20.0
